Ensembl Transcript ID,control 1,control 2,hht 1.1,hht 1.2,hht 2.1,hht 2.2,hht 3.1,hht 3.2
ENSG00000128641,1824.36619,1728.191535,3574.42495,3208.197941,2816.207977,2640.338735,5403.750098,4603.896956
ENSG00000128645,221.2254815,212.9669993,128.4601075,140.7442606,151.5402631,185.3057205,212.1306856,187.4930756
ENSG00000128652,81.34748646,62.15783232,81.74734115,80.97614995,77.29570468,81.40598127,68.10511487,81.63574104
ENSG00000128654,1089.262685,1102.537288,926.1704255,887.845644,848.218654,682.3106588,957.9375173,885.4338066
ENSG00000128655,10.9124677,20.37961715,10.77986916,55.91210353,19.32392617,69.62353661,44.65909172,57.41414754
ENSG00000128656,641.851509,656.2236724,775.2522572,685.4052692,692.6101959,574.1263942,376.2528477,371.3977669
ENSG00000128683,14.88063777,23.43655973,13.47483645,36.63206783,23.39212115,76.05032461,36.84375067,49.34028305
ENSG00000128692,24.80106294,16.30369372,23.35638318,26.0280482,21.35802366,22.49375798,29.02840962,23.32449744
ENSG00000128694,193.448291,196.6633055,162.5963599,121.4642249,139.3356782,145.6738612,160.7727302,124.6963517
ENSG00000128699,967.2414548,1011.847992,1004.324477,942.7937458,819.7412891,773.356822,1069.585247,963.4811635
ENSG00000128708,1029.740133,976.1836617,1120.20807,1060.401964,956.0258211,1025.072685,1106.428997,922.2147449
ENSG00000128709,141.86208,122.2777029,88.93392059,64.5881196,94.58553336,94.25955726,213.2471629,168.6540584
ENSG00000128710,16.8647228,17.32267458,2.69496729,10.60401964,7.119341221,16.06696999,120.5795476,114.8282951
ENSG00000128731,3210.249588,3564.39504,3994.839847,3463.658414,2667.71886,2264.371637,2362.465952,2237.357562
ENSG00000128739,1291.639358,1253.346455,1045.647309,948.5777565,768.8888518,757.2898521,1432.440367,1403.955327
ENSG00000128789,1320.408591,1153.486331,1403.179636,1143.306117,1129.941157,946.8800979,1189.048317,1092.662995
ENSG00000128791,4024.716495,3681.577839,4355.067141,4125.92764,3186.413721,3000.238862,4024.900641,3578.516165
ENSG00000128805,1409.692418,1358.301483,892.0341732,794.3374709,1004.844161,908.3193699,1191.281272,1076.515266
ENSG00000128815,50.59416841,37.70229174,25.15302804,37.59606962,44.75014482,66.41014261,20.09659127,23.32449744
ENSG00000128829,3149.734994,3115.024482,3212.40101,2831.273243,2607.712984,2356.488931,2695.176185,2375.510355
ENSG00000128833,1244.021317,1119.859963,2014.038888,1815.215361,1452.345609,1350.69661,605.1306927,616.30499
